id_evidencia,archivo,tipo,codigo_participante,fecha,duracion,codec,tamano,hash_sha256,estado
1,Enfermería.mp3,Audio MP3,PS-01,02/08/2026,00:19:45,MP3 (MPEG Audio Layer III),"15,0 MB",DADD0C593F7FBB1D87F3D49283D97648889459F2209D5777DBC37B074818B457,VERIFICADO (coincide con MG-10)
2,Nutricionista.mp3,Audio MP3,PS-02,02/08/2026,00:12:34,MP3 (MPEG Audio Layer III),"11,5 MB",36A7E1E4BA570D720D502EE1CE2B4B9724A13A4CAE9C90B86701D4104E4A5044,VERIFICADO (coincide con MG-04)
3,Psicologia.mp3,Audio MP3,PS-03,02/08/2026,00:06:59,MP3 (MPEG Audio Layer III),"6,39 MB",3C9717091B2767586A2C77CD530DC79CC299DE895DA0AEFD1539BA68EF05F7F0,VERIFICADO (coincide con MG-07)
4,Medicina_General.mp3,Audio MP3,PS-04,02/08/2026,00:12:52,MP3 (MPEG Audio Layer III),"5,90 MB",F77E7F339DDCCECB807F16ECF8B4727B666DD0351B8ECE3EB640122E4DA9E7B1,VERIFICADO (ver Nota 1)
5,Odontologia_Coordinacion.mp3,Audio MP3,PS-05,02/08/2026,00:21:51,MP3 (MPEG Audio Layer III),"19,1 MB",E769133CD2E3B2F3319CFAD02D6D9439E7D5FF891678EE47CC5FD8517D3AE3C5,VERIFICADO (coincide con MG-03)
6,Recepcion.mp3,Audio MP3,PS-06,02/08/2026,00:07:42,MP3 (MPEG Audio Layer III),"5,72 MB",EA781C45C9F900B6C0F52ADA0A20BCDA7C01F9D6F03C130BA90145C26F0D63D5,VERIFICADO (coincide con MG-02)
7,Terapeuta_Fisico.mp3,Audio MP3,PS-07,02/08/2026,00:17:16,MP3 (MPEG Audio Layer III),"5,43 MB",598BB1770761ACCC5EF6653F33C071C0D5CE75F63B08829CB49F08D9A0680BFE,VERIFICADO (coincide con MG-08)
8,Simulador_Paciente.mp3,Audio MP3,PS-08,02/08/2026,00:06:15,MP3 (MPEG Audio Layer III),"5,72 MB",97C23D80352A83626D779D99292DE627C083BD7BF3F7D3CD0A55635E369C05DC,VERIFICADO (coincide con MG-01)
9,V_Enfermeria.mp3,Audio MP3,PS-09,28/08/2026,00:17:18,MP3 (MPEG Audio Layer III),"13,1 MB",6BE100D69F526007692410770C424D327D53AACD95FDB7300CC0879F6C81F201,VERIFICADO (coincide con MG-11)
10,V_Nutricion.mp3,Audio MP3,PS-10,28/08/2026,00:14:43,MP3 (MPEG Audio Layer III),"13,4 MB",781810C925CD370EE2A90FF1CA8DCFD7F8813462E3A46762972D65B20BE2FBA7,VERIFICADO (coincide con MG-12)
11,V_Psicologia.mp3,Audio MP3,PS-11,28/08/2026,00:14:44,MP3 (MPEG Audio Layer III),"13,15 MB",AC1A4B59A5BC0CF03A9544CB462A62B8C14A919BA2C2D08D661405A17540DDCE,VERIFICADO (coincide con MG-13)
12,V_Medicina_General.mp3,Audio MP3,PS-12,28/08/2026,00:15:35,MP3 (MPEG Audio Layer III),"14,2 MB",D412F27CF206BCB07AA50C169B2E4E1F116171A591F87E2B3F02EE0AD19C1BF5,VERIFICADO (coincide con MG-14)
13,V_Coordinacion_Odontologia.mp3,Audio MP3,PS-13,28/08/2026,00:13:35,MP3 (MPEG Audio Layer III),"12,2 MB",392DEBF7287FAD7B7C019C0FD403AD7B428FE1BCE8070168C3077CFEA91C84CD,VERIFICADO (coincide con MG-15)
14,V_Odontologia_Coordinacion.mp3,Audio MP3,PS-14,28/08/2026,00:08:07,MP3 (MPEG Audio Layer III),"7,41 MB",CF8190B5249D84CE1CBC20904A547C5EB44DB5C783F2F4EB902584B0439F14AB,VERIFICADO (coincide con MG-16)
15,V_Recepcion.mp3,Audio MP3,PS-15,28/08/2026,00:16:24,MP3 (MPEG Audio Layer III),"15,0 MB",313452BE39811D99C8B989F798C0943561927854D7D6C83E546B6D248E26914A,VERIFICADO (coincide con MG-17)
16,V_TerapiaFisica.mp3,Audio MP3,PS-16,28/08/2026,00:14:05,MP3 (MPEG Audio Layer III),"16,6 MB",ACB98EB27D4A8408AA9C3FAE09982B0B5E4ED0D6E20375D2F798FBB842DABFA4,VERIFICADO (coincide con MG-18)
17,V_Simulador_Paciente.mp3,Audio MP3,PS-17,28/08/2026,00:13:25,MP3 (MPEG Audio Layer III),"12,2 MB",B924BB8DDC878999ED38C57B09FC6AEA701559E9115C566E7ED233D516A51A0A,VERIFICADO (coincide con MG-19)
18,V_Simulador_Paciente02.mp3,Audio MP3,PS-18,30/08/2026,00:09:41,MP3 (MPEG Audio Layer III),"8,65 MB",24FFD0610A5B027F9241A1510E8DD6D83DD5D637DEBB302757E9CEC4329A8897,VERIFICADO (coincide con MG-20)
19,2026_07_22_Paciente_Entrevista.mp4,Video MP4,MG-01,22/07/2026,00:06:15,H.264 + AAC,"71,1 MB",3636FB97CD741BAE363D62980BE893CB4F54125989A4CE25128FCC25FA798C36,VERIFICADO
20,Video_Recepcion_001.mp4,Video MP4,MG-02,07/07/2026,00:07:42,H.264 + AAC,"7,50 MB",08E505430A1036C972275739C3B17239D4FAB787DF759FD58A0A8B4264A5E48B,VERIFICADO
21,2026_06_04_Coordinadora_Odontologa_Entrevista.mp4,Video MP4,MG-03,04/06/2026,00:21:51,H.264 + AAC,162 MB,BB24ADA7920D4E6AE977C81A0AE80F5AE2727955E7ED2E0B428BE8E2B95D6550,VERIFICADO
22,2026_06_04_Nutricionista_Entrevista.mp4,Video MP4,MG-04,04/06/2026,00:12:34,H.264 + AAC,"72,3 MB",8C9115E8F051D1F9168515CF81EFC355B90F3C9CD73BA0D0E25788660AE17C63,VERIFICADO
