Marca temporal;Codigo_Participante;Edad;  ¿Con qué frecuencia utiliza los servicios del centro médico?  ;  ¿Qué servicio utiliza con mayor frecuencia?  ;  El proceso actual para obtener una cita médica es sencillo.  ;  Me gustaría poder solicitar o consultar citas médicas mediante un sistema digital.  ;  Considero importante recibir recordatorios de mis citas médicas por teléfono o mensaje.  ;  La información sobre horarios y disponibilidad de atención debería estar disponible de forma digital.  ;  Considero importante que mi historial clínico esté almacenado digitalmente para evitar pérdida de información.  ;  ¿Quiénes considera que deberían poder acceder a su historial médico?  ;  ¿Qué tan importante considera que los especialistas compartan información médica para brindar una mejor atención?  ;   ¿Cómo le gustaría recibir indicaciones médicas, dietas, recomendaciones o aviso de cancelación de citas medicas ?  ;  Si el centro médico contara con una plataforma digital, ¿para qué la utilizaría principalmente?  ; Le gustaría que las interfaces del sistema fuesen intuitivas fáciles de entender y animadas con dibujos o iconos representaivos;  ¿Qué dificultades ha experimentado al solicitar una cita o recibir atención en el centro médico?  ;  ¿Qué mejoras le gustaría que se implementaran para facilitar la atención a los usuarios ?  ;Género;¿Tiene algún tipo de seguro o afiliación médica?;¿Ha utilizado antes alguna aplicación similar para citas médicas?;¿Qué tan cómodo se siente usando aplicaciones o plataformas digitales?;¿Qué dispositivo usaría principalmente para acceder al sistema?;¿Cuenta con conexión a internet estable la mayor parte del tiempo?;Si necesita cancelar o reprogramar una cita, ¿con cuánto tiempo de anticipación le gustaría poder hacerlo?;¿En qué horario preferiría agendar sus citas médicas?;¿Alguna vez ha necesitado agendar una cita con carácter urgente/prioritario?;¿Con qué frecuencia ha faltado a una cita ya agendada, o ha llegado tarde?;¿Cuál fue el motivo principal de esa inasistencia o retraso?;¿Qué tan seguro/a se siente de que sus datos médicos estén almacenados en una plataforma digital?;¿Necesitaría ayuda de otra persona para usar una aplicación de citas médicas?;¿Considera que la aplicación debería tener opciones de accesibilidad (texto grande, lectura por voz, alto contraste)?;¿Le gustaría recibir su factura o comprobante de pago de forma digital?;¿Qué medio de pago preferiría usar en la plataforma?;¿Recomendaría el centro médico a un familiar o amigo?;Comentarios o sugerencias adicionales
6/13/2026 6:45:21;ENC-01;23;Una vez al año;Medicina General;1;5;5;5;5;Todo el personal del centro médico;Muy importante;WhatsApp;Solicitar citas médicas;5;Al solicitar una cita médica no existe disponibilidad de ninguna de las especialidades ;Rediseñar el sistema de salud, agendamiento y personal ;;;;;;;;;;;;;;;;;;
6/13/2026 7:11:27;ENC-02;25;Varias veces al año;Medicina General, Odontología, Terapia Física;3;3;3;3;3;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Correo electrónico, Mensaje de texto (SMS), Prefiero recibirlas de forma presencial;Consultar información de mis citas;5;Falta de turnos;Ampliaci9n de la cantidad de turnos;;;;;;;;;;;;;;;;;;
6/13/2026 7:47:06;ENC-03;19;Varias veces al año;Medicina General;4;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Correo electrónico, Aplicación móvil;Consultar información de mis citas;5;Se me pierde la información de ni cita y no tengo un recordatorio de ello. ;Que se pueda ver cuanto tiempo de espera tien;;;;;;;;;;;;;;;;;;
6/13/2026 7:52:52;ENC-04;32;Una vez al año;Medicina General;3;3;4;4;4;Solo el médico que lo atiende;Muy importante;WhatsApp;Solicitar citas médicas;3;Ninguna ;Ninguna ;;;;;;;;;;;;;;;;;;
6/13/2026 7:59:17;ENC-05;25;Una vez al mes;Odontología, Nutrición, Terapia Física;4;1;2;1;1;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Aplicación móvil;Todas las anteriores;1;no conocer los horarios de atención, precios, horarios de atención, áreas de atención brindan ;atención mas rápida e informativa además de  respaldos de información para evitar perdidas de información;;;;;;;;;;;;;;;;;;
7/27/2026 20:38:23;ENC-06;52;Una vez al año;Odontología;2;3;3;3;3;Solo el médico que lo atiende;Importante;WhatsApp;Consultar información de mis citas;3;Cuando agendo una cita es demasiado tiempo realizarlo presencial preferiría poder apartarla de forma virtual;Que se pueda acceder de forma virtual ;Masculino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;2;Sí;No;No;Transferencia bancaria;Sí;
7/27/2026 21:02:17;ENC-07;23;Varias veces al año;Medicina General, Odontología;2;5;5;4;5;Los profesionales autorizados que participen en mi atenció;Muy importante;Aplicación móvil, Prefiero recibirlas de forma presencial;Solicitar citas médicas;;Falta de citas disponibles;Facilidad de agendar citas en fechas accesibles;Masculino;;;;;;6 a 24 horas;Cualquier horario;Sí;Nunca;No aplica;3;No;Sí;Sí;Efectivo en el centro;;
7/27/2026 21:24:13;ENC-08;20;Una vez al año;Medicina General;1;3;4;4;3;Solo el médico que lo atiende;Muy importante;WhatsApp, Correo electrónico;Solicitar citas médicas;;Ni una ya que no agendo citas médicas ;Respuesta inmediata ;Femenino;;;;;;1 a 6 horas;Mañana;No;Nunca;Imprevisto;2;Sí;Sí;No;Transferencia bancaria;;Ni uno
7/27/2026 21:34:58;ENC-09;20;Varias veces al año;Medicina General;3;4;4;4;5;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Correo electrónico;Todas las anteriores;;Ninguna ;No se me ocurre ninguna ;Masculino;;;;;;1 a 6 horas;Cualquier horario;Sí;Rara vez;Imprevisto;4;No;Sí;Sí;Transferencia bancaria;;Sin comentarios 
7/27/2026 21:54:44;ENC-10;20;Más de una vez al mes;Psicología;3;4;4;2;3;Los profesionales autorizados que participen en mi atenció;Muy importante;Aplicación móvil;Todas las anteriores;;El tiempo en el que se dan las citas;.;Femenino;;;;;;Más de 24 horas;Mañana;Sí;Rara vez;Imprevisto;4;No;No;Sí;Transferencia bancaria;;no
7/27/2026 22:01:11;ENC-11;22;Una vez al mes;Odontología;1;1;1;1;1;Todo el personal del centro médico;Muy importante;WhatsApp;Todas las anteriores;;No hay citas disponibles ;Que la atención fuera más rápida y no nos tocará esperar mucho tiempo ;Femenino;;;;;;Menos de 1 hora;Mañana;Sí;Rara vez;Imprevisto;5;No;Sí;Sí;Transferencia bancaria;;Que  fuera todo mejor en el centro de salud 
7/27/2026 22:18:16;ENC-12;20;Una vez al año;Odontología;4;5;4;3;5;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Correo electrónico, Mensaje de texto (SMS);Solicitar citas médicas;;El proceso presencial muy monotono;Automatización ;Masculino;;;;;;1 a 6 horas;Mañana;Sí;Nunca;No aplica;4;No;Sí;Sí;Todas las anteriores ;;No
7/27/2026 22:41:34;ENC-13;22;Una vez al año;Odontología;4;4;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Correo electrónico, Aplicación móvil, Mensaje de texto (SMS);Solicitar citas médicas;;El tiempo de atención ;Mejorar el tiempo de atención ;Femenino;;;;;;Más de 24 horas;Tarde;No;Nunca;;3;No;Sí;Sí;Efectivo en el centro;;Ninguna 
7/27/2026 22:41:44;ENC-14;30;Varias veces al año;Medicina General;1;1;1;1;1;Solo el médico que lo atiende;Muy importante;Correo electrónico;Solicitar citas médicas;;Ninguna;App;Femenino;;;;;;1 a 6 horas;Mañana;Sí;Nunca;No aplica;1;No;Sí;Sí;Transferencia bancaria;;Ninguno
7/27/2026 22:50:39;ENC-15;23;Una vez al año;Medicina General;4;5;4;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Correo electrónico;Solicitar citas médicas;;Tiempo de espera ;Atención digital rápido y segura ;Masculino;;;;;;Menos de 1 hora;Mañana;No;Nunca;No aplica;5;No;Sí;Sí;Transferencia bancaria;;.
7/27/2026 22:51:01;ENC-16;42;Una vez al año;Medicina General;3;5;5;5;4;Los profesionales autorizados que participen en mi atenció;Muy importante;Correo electrónico;Todas las anteriores;;Tiempo de respuesta ;Tiempo de respuesta ;Femenino;;;;;;1 a 6 horas;Cualquier horario;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Transferencia bancaria;;Ninguno 
7/27/2026 23:16:15;ENC-17;25;Una vez al año;Medicina General;2;4;4;4;4;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Aplicación móvil;Solicitar citas médicas;;Los tiempos de respuesta ;Empatia y predisposición por parte del personal.;Masculino;;;;;;Más de 24 horas;Mañana;No;Nunca;No aplica;4;Sí;Sí;Sí;Efectivo en el centro;;Ninguno 
7/27/2026 23:32:53;ENC-18;24;Varias veces al año;Odontología;5;5;5;5;5;Solo el médico que lo atiende;Muy importante;WhatsApp, Correo electrónico;Revisar recomendaciones médicas;;Muchas gente en fila;Rapidez;Femenino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;5;No;Sí;Sí;Transferencia bancaria;;Ninguno
7/28/2026 0:42:43;ENC-19;28;Una vez al año;Medicina General;3;3;3;3;3;Los profesionales autorizados que participen en mi atenció;Muy importante;Correo electrónico;Consultar información de mis citas;;Ninguna;Agilidad ;Femenino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Transferencia bancaria;;Ninguno
7/28/2026 6:37:34;ENC-20;25;Una vez al año;Medicina General;3;3;4;3;4;Solo el médico que lo atiende;Muy importante;WhatsApp, Correo electrónico, Mensaje de texto (SMS);Todas las anteriores;;Mal atención y retraso de tiempo ;Atender prioritariamente a emergencias en vez de darles turnos para que esperen ;Femenino;;;;;;1 a 6 horas;Cualquier horario;Sí;Rara vez;Olvido;4;No;Sí;No;Efectivo en el centro;;Ninguno 
7/28/2026 7:29:19;ENC-21;35;Varias veces al año;Medicina General, Odontología;1;4;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;Prefiero recibirlas de forma presencial;Todas las anteriores;;Que la cita a veces no es para ese día han cambiado y no hay información ;Que sea justo a la hora que esta ajendada la cita médica ;Femenino;;;;;;Más de 24 horas;Cualquier horario;Sí;Rara vez;Imprevisto;5;Sí;Sí;Sí;Todas ;;Ningúna
7/28/2026 7:32:36;ENC-22;19;Una vez al año;Nutrición;3;1;1;3;3;Todo el personal del centro médico;Muy importante;WhatsApp;Consultar información de mis citas;;Nunca he hido;Que sean pacientes;Femenino;;;;;;Menos de 1 hora;Cualquier horario;No;Nunca;Olvido;5;No;Sí;Sí;Efectivo en el centro;;Nada
7/28/2026 7:34:36;ENC-23;45;Una vez al año;Medicina General;2;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Mensaje de texto (SMS);Todas las anteriores;;Espera porq el doctor no llega ;Llego y me atiendan según mi horario de cita médica ;Masculino;;;;;;Más de 24 horas;Cualquier horario;No;A veces;Olvido;5;Sí;Sí;Sí;Efectivo en el centro;;Ningúna
7/28/2026 8:00:37;ENC-24;40;Varias veces al año;Medicina General, Odontología;2;2;3;3;2;Solo el médico que lo atiende;Muy importante;WhatsApp;Solicitar citas médicas;;No atienden ;Que tiendan n bien ;Femenino;;;;;;Menos de 1 hora;Mañana;No;Nunca;Imprevisto;1;Sí;Sí;No;Efectivo en el centro;;Nd
7/28/2026 8:06:43;ENC-25;35;Una vez al año;Medicina General;3;4;4;4;4;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Solicitar citas médicas;;Muy lamentable;Atención al usuario eficiente ;Masculino;;;;;;6 a 24 horas;Tarde;Sí;Nunca;No aplica;4;No;No estoy seguro(a);Sí;Efectivo en el centro;;Mejorar el sistema de salud generalmente en la atención y generación de citas 
7/28/2026 8:23:36;ENC-26;38;Varias veces al año;Medicina General;4;5;5;5;3;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Todas las anteriores;;No es tan mala aveces;Los doctores más atención menos reuniones entre ellos;Femenino;;;;;;Menos de 1 hora;Tarde;Sí;A veces;Olvido;5;No;Sí;Sí;Transferencia bancaria;;Ninguno
7/28/2026 8:28:39;ENC-27;28;Varias veces al año;Medicina General;2;1;1;1;1;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Todas las anteriores;;Ninguno;Rapidez;Femenino;;;;;;1 a 6 horas;Tarde;Sí;Nunca;No aplica;5;No;Sí;Sí;Transferencia bancaria;;Ninguno
7/28/2026 8:44:43;ENC-28;24;Varias veces al año;Medicina General, Odontología;3;1;4;2;5;Todo el personal del centro médico;Muy importante;WhatsApp, Prefiero recibirlas de forma presencial;Todas las anteriores;;Ninguna ;Ninguna ;Femenino;;;;;;6 a 24 horas;Mañana;Sí;Rara vez;Se confundieron de horario y me agendaron en un dia que no atendian.;4;No;No estoy seguro(a);Sí;Todas ;;Ninguna 
7/28/2026 8:56:45;ENC-29;15;Una vez al año;Terapia Física;4;4;4;3;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Solicitar citas médicas;;No he tenido dificultades ;Nada todo esta muy bien ;Masculino;;;;;;6 a 24 horas;Tarde;Sí;Nunca;No aplica;3;Sí;Sí;Sí;Transferencia bancaria;;Todo bien
7/28/2026 10:01:54;ENC-30;17;Varias veces al año;Medicina General;3;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Todas las anteriores;;Que este lleno ;Más personal;Femenino;;;;;;6 a 24 horas;Cualquier horario;Sí;Nunca;No aplica;4;No;Sí;Sí;Tarjeta de crédito/débito;;No
7/28/2026 11:00:05;ENC-31;23;Una vez al mes;Psicología;3;4;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Todas las anteriores;;A veces los médicos no se toman en serio las molestias del paciente ;Que se trabaje coordinadamente entre especialistas para que la atención sea completa y no sé tenga que repetir tan seguido las dolencias y el historial médico.;Femenino;;;;;;6 a 24 horas;Cualquier horario;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Transferencia bancaria;;Ninguna.
7/28/2026 11:15:39;ENC-32;17;Una vez al año;Odontología;1;1;3;5;1;Solo el médico que lo atiende;Muy importante;Correo electrónico;Solicitar citas médicas;;Ninguna ;No sé ;Masculino;;;;;;Más de 24 horas;Tarde;No;Rara vez;Olvido;1;No;No;No;Transferencia bancaria;;No
7/28/2026 11:16:47;ENC-33;18;Una vez al año;Psicología;1;1;2;2;4;Todo el personal del centro médico;Importante;WhatsApp;No la utilizaría;;Nada ;Nose ;Femenino;;;;;;1 a 6 horas;Tarde;Sí;Rara vez;;3;Sí;No;Sí;Efectivo en el centro;;Pues todo bien 
7/28/2026 11:24:32;ENC-34;30;Varias veces al año;Medicina General;3;3;3;3;3;Todo el personal del centro médico;Muy importante;Prefiero recibirlas de forma presencial;Consultar información de mis citas;;Ninguna ;Las medicinas ;Femenino;;;;;;1 a 6 horas;Mañana;No;Rara vez;Olvido;2;Sí;No estoy seguro(a);No;Efectivo en el centro;;No
7/28/2026 11:56:53;ENC-35;17;Una vez al año;Medicina General;1;1;1;1;1;Solo el médico que lo atiende;Muy importante;WhatsApp;Solicitar citas médicas;;Ninguna ; No esperar mucho ;Femenino;;;;;;Menos de 1 hora;Mañana;Sí;Nunca;Olvido;1;Sí;Sí;No;Efectivo en el centro;; Ningunas todas  estan bien 
7/28/2026 12:12:19;ENC-36;17;Una vez al año;Psicología;2;3;1;4;2;Los profesionales autorizados que participen en mi atenció;No estoy seguro(a);WhatsApp;Todas las anteriores;;Nose;Nose;Prefiero no decir;;;;;;Menos de 1 hora;Cualquier horario;No;A veces;Imprevisto;3;Sí;No estoy seguro(a);Sí;Transferencia bancaria;;Nose
7/28/2026 12:54:04;ENC-37;29;Varias veces al año;Medicina General;1;1;1;1;1;Los profesionales autorizados que participen en mi atenció;Importante;Correo electrónico;Revisar recomendaciones médicas;;Que no hay citas o sino demasiado tiempo en espera;Que atiendan más rápido ;Femenino;;;;;;Más de 24 horas;Tarde;Sí;Nunca;No aplica;4;No;Sí;Sí;Transferencia bancaria;;Que mejore la atención al usuario 
7/28/2026 14:31:40;ENC-38;37;Una vez al año;Medicina General;2;4;4;4;4;Solo el médico que lo atiende;Importante;WhatsApp;Todas las anteriores;;Página colapsada;Más turnos para los pacientes ;Femenino;;;;;;Más de 24 horas;Cualquier horario;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Efectivo en el centro;;Sea prioridad la salud de los pacientes 
