archivo;columna;tipo;unidad;rango_admisible;codificacion_valores_perdidos;procedencia
datos_crudos/ficha_observacion.csv;id_registro;texto;identificador;ELI-### o OBS-###;no aplica (obligatorio);instrumento de campo, sin edición manual
datos_crudos/ficha_observacion.csv;codigo_sesion;texto;identificador;ej. ELIC-P01, VAL-ENF;no aplica (obligatorio);instrumento de campo
datos_crudos/ficha_observacion.csv;codigo_participante;texto;identificador;ej. P01..P08;vacío si no aplica al registro;instrumento de campo
datos_crudos/ficha_observacion.csv;area;texto;categoría;rol clínico/administrativo del participante;no aplica (obligatorio);instrumento de campo
datos_crudos/ficha_observacion.csv;fuente_evidencia;texto;nombre de archivo;nombre de transcripción asociada;no aplica (obligatorio);instrumento de campo
datos_crudos/ficha_observacion.csv;tarea_funcion;texto;descripción libre;texto libre;vacío si no observado;instrumento de campo
datos_crudos/ficha_observacion.csv;requisito_relacionado;texto;lista de IDs;uno o más RF- separados por ";";vacío si no se identificó relación;instrumento de campo
datos_crudos/ficha_observacion.csv;estado_tarea;texto;categoría cerrada;CONTEXTO_ELICITACION / COMPLETADA_CON_OBSERVACION / etc.;no aplica (obligatorio);instrumento de campo
datos_crudos/ficha_observacion.csv;dificultad_incidente;texto;descripción libre;texto libre;vacío si no hubo incidente;instrumento de campo
datos_crudos/ficha_observacion.csv;comentario_participante;texto;descripción libre;texto libre;vacío si el participante no comentó;instrumento de campo
datos_crudos/ficha_observacion.csv;observacion_investigador;texto;descripción libre;texto libre;vacío si no aplica;instrumento de campo
datos_crudos/ficha_observacion.csv;recomendacion;texto;descripción libre;texto libre;vacío si no se generó recomendación;instrumento de campo
datos_crudos/ficha_observacion.csv;referencia_evidencia;texto;nombre de archivo;coincide con fuente_evidencia;no aplica (obligatorio);instrumento de campo
datos_crudos/ficha_observacion.csv;estado_revision;texto;categoría cerrada;REVISADO / PENDIENTE;no aplica (obligatorio);instrumento de campo
datos_crudos/manifest_transcripciones_validacion.csv;archivo;texto;nombre de archivo;nombre del .txt de transcripción;no aplica (obligatorio);generado al inventariar la carpeta de evidencia
datos_crudos/manifest_transcripciones_validacion.csv;tipo;texto;categoría;transcripcion_validacion;no aplica (obligatorio);generado al inventariar la carpeta de evidencia
datos_crudos/manifest_transcripciones_validacion.csv;estado;texto;categoría cerrada;DISPONIBLE / NO_DISPONIBLE;no aplica (obligatorio);generado al inventariar la carpeta de evidencia
datos_crudos/manifest_transcripciones_validacion.csv;bytes;entero;bytes;>= 0;no aplica (obligatorio);calculado con os.path.getsize sobre el archivo original
datos_crudos/manifest_transcripciones_validacion.csv;sha256;texto;hash hexadecimal;64 caracteres hexadecimales;no aplica (obligatorio);calculado con sha256sum sobre el archivo original
datos_procesados/observacion_requisito_long.csv;id_registro;texto;identificador;igual a ficha_observacion.csv;no aplica (obligatorio);06_Experimento/scripts_analisis/run_all.py
datos_procesados/observacion_requisito_long.csv;codigo_sesion;texto;identificador;igual a ficha_observacion.csv;no aplica (obligatorio);06_Experimento/scripts_analisis/run_all.py
