Backlog Sincronizado;;;
;;;
;;;
Historia;RF_origen;Estado;Observación
US-01;RF-02, RF-11, RF-13, RF-36;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-02;RF-03;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-03;RF-04;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-04;RF-06;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-05;RF-05, RF-14;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-06;RF-01, RF-08;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-07;RF-09;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-08;RF-10;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-09;RF-12;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-10;RF-17;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-11;RF-18, RF-20;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-12;RF-19;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-13;RF-21;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-14;RF-22, RF-23;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-15;RF-24, RF-25;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-16;RF-26;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-17;RF-27;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-18;RF-28, RF-29;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-19;RF-07, RF-30, RF-35;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-20;RF-33;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-21;RF-34;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-22;RF-38;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-23;RF-37;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-24;RF-39;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-25;RF-39;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-26;RF-39;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-27;RF-39;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-28;RF-40;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-29;RF-40;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-30;RF-10;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-31;RF-09;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-32;RF-09;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-33;RF-15, RF-31;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-34;RF-32;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-35;RF-16, RF-IA1-02, RF-IA1-03;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-36;RF-IA2-01;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-37;RF-IA2-02;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
US-38;RF-IA2-03;Sincronizada en matriz PE5;Crear/actualizar en tablero real antes de etiquetar baseline
